model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,recording_tech,acoustic_idle_db,acoustic_seek_db,is_helium,drive_class,media_type,nand_type,tbw_tb,dwpd,has_dram,has_plp,sustained_write_mbps,in_production,also_sold_as,afr_pct,reliability_drive_count,reliability_drive_days,reliability_failures,reliability_source
SBFPF2BV307T001,Solidigm,D5-P5336,30,,,NVMe,U.2,,,,,Enterprise,ssd,QLC,31500,0.56,1,1,3000,1,,,,,,
WUH722626ALE6L4,WD,"Ultrastar DC HC590",26,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,0.67,3604,274161,5,"Backblaze thru Q1 2026"
ST24000NM002H,Seagate,"Exos X24",24,7200,512,SATA,3.5,cmr,30,34,1,Enterprise,hdd,,,,,,,1,,2.91,9605,2761100,220,"Backblaze thru Q1 2026"
ST24000NT002,Seagate,"IronWolf Pro",24,7200,512,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
ST24000VE002,Seagate,"SkyHawk AI",24,7200,512,SATA,3.5,cmr,,,1,Surveillance,hdd,,,,,,,1,,,,,,
MG11ACA24TE,Toshiba,MG11,24,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,0.42,7203,869474,10,"Backblaze thru Q1 2026"
WD241KFGX,WD,"Red Pro",24,7200,512,SATA,3.5,cmr,25,32,1,NAS-Pro,hdd,,,,,,,1,WD240KFGX,,,,,
WD241KRYZ,WD,Gold,24,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,0,,,,,,
WD242KRYZ,WD,Gold,24,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WUH722424ALE6L4,WD,"Ultrastar DC HC580",24,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,,,,,
ST22000NM001E,Seagate,"Exos X22",22,7200,512,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST22000NT001,Seagate,"IronWolf Pro",22,7200,512,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
MG10AFA22TE,Toshiba,MG10,22,7200,512,SATA,3.5,cmr,20,,1,Enterprise,hdd,,,,,,,1,,,,,,
WD221KFGX,WD,"Red Pro",22,7200,512,SATA,3.5,cmr,20,36,1,NAS-Pro,hdd,,,,,,,1,,,,,,
WD221KRYZ,WD,Gold,22,7200,512,SATA,3.5,cmr,20,32,1,Enterprise,hdd,,,,,,,1,,,,,,
WD221PURP,WD,"Purple Pro",22,7200,512,SATA,3.5,cmr,20,32,1,Surveillance,hdd,,,,,,,1,,,,,,
WUH722222ALE6L4,WD,"Ultrastar DC HC570",22,7200,512,SATA,3.5,cmr,20,36,1,Enterprise,hdd,,,,,,,1,,0.45,45638,17605821,219,"Backblaze thru Q1 2026"
ST20000NM007D,Seagate,"Exos X20",20,7200,256,SATA,3.5,cmr,29,33,1,Enterprise,hdd,,,,,,,1,,,,,,
ST20000NT001,Seagate,"IronWolf Pro",20,7200,256,SATA,3.5,cmr,28,32,1,NAS-Pro,hdd,,,,,,,1,,,,,,
